원본_상권명,검색어
리움미술관,리움미술관 카페
조원동주민센터,조원동주민센터 카페
금동어린이공원,금동어린이공원 카페
서울대입구역 8번,서울대입구역 카페
회기시장,회기시장 카페
대흥동주민센터,대흥동주민센터 카페
거여초등학교,거여초등학교 카페
정릉시장,정릉시장 카페
구로나눔길,구로나눔길 카페
경수초등학교,경수초등학교 카페
전농로터리시장,전농로터리시장 카페
청량리역(청량리),청량리역 카페
전곡마을마당공원,전곡마을마당공원 카페
시립대앞사거리,시립대앞사거리 카페
달마을공원,달마을공원 카페
노량진역 6번,노량진역 카페
역삼역 8번,역삼역 카페
고려대역 6번,고려대역 카페
신월4동주민센터,신월4동주민센터 카페
회기역,회기역 카페
연신내우체국,연신내우체국 카페
시립서북병원,시립서북병원 카페
광흥창역 1번,광흥창역 카페
가산동주민센터,가산동주민센터 카페
역촌노인복지관,역촌노인복지관 카페
응암역 2번,응암역 카페
방배아이파크아파트,방배아이파크아파트 카페
둔촌동역 1번(한산중학교),둔촌동역 카페
사가정역 4번,사가정역 카페
본서부병원,본서부병원 카페
새절역 2번,새절역 카페
면목역 2번,면목역 카페
상봉역,상봉역 카페
남가좌동현대아파트,남가좌동현대아파트 카페
NH농협은행 상도동지점,NH농협은행 상도동지점 카페
서초3동사거리,서초3동사거리 카페
강동역 4번(강풀만화거리),강동역 카페
방학초등학교,방학초등학교 카페
모래내우체국,모래내우체국 카페
화곡4동주민센터,화곡4동주민센터 카페
흑리단길,흑리단길 카페
성심여자고등학교,성심여자고등학교 카페
신촌 상인회(신촌상점가),신촌 상인회 카페
군자역 5번,군자역 카페
중화역 1번,중화역 카페
"이화여대(이대역, 이대)",이화여대 카페
연희대우아파트앞,연희대우아파트앞 카페
삼성중앙역,삼성중앙역 카페
천호역 1번(천호문구완구거리),천호역 카페
서연중학교,서연중학교 카페
우면주공아파트,우면주공아파트 카페
서울국제고등학교,서울국제고등학교 카페
서대문소방서,서대문소방서 카페
서대문역,서대문역 카페
까치산역,까치산역 카페
