상권_코드,상권_코드_명,상권유형,residual_latest,pred_latest,y_log_latest,매출_latest,찻집수_latest,residual_avg,residual_std,n_quarters,supply_shortage,residual_consistent,blueocean_candidate
3110125,사근동살곶이상점가,골목상권,0.9910848298668782,17.975899133117743,18.96698396298462,172685738,0,1.3651805471783223,0.2846267749155971,9,1.0,False,False
3110718,한국SGI본부,골목상권,0.9927982806874311,18.252673164289646,19.245471444977078,228140321,0,0.8555453026390517,0.1614650231102528,9,1.0,False,False
3120184,포이사거리(삼호물산),발달상권,0.9941483501803781,20.78168548789254,21.775833838072916,2864998999,0,0.9396621227680393,0.09740876826682851,9,1.0,False,False
3111059,강동역 4번(강풀만화거리),골목상권,1.0005374125923758,18.706676573676383,19.70721398626876,362021436,0,0.800503082656931,0.16645582660635605,9,1.0,False,False
3110122,마장역 2번,골목상권,1.0008832566057606,17.965411402118722,18.966294658724483,172566746,0,0.9385337145420496,0.22237317258442582,9,1.0,False,False
3110084,경리단길북측,골목상권,1.0056547581948188,18.35992948028587,19.36558423848069,257256509,0,0.9044895646717003,0.3481123761216504,9,1.0,False,False
3111039,벌말어린이공원,골목상권,1.0122339012539108,17.67402457689859,18.6862584781525,130418422,0,1.0510785075697484,0.12435409786049442,9,1.0,False,False
3120229,방이동먹자골목,발달상권,1.0165549663803368,20.591296485524353,21.60785145190469,2421980550,0,0.8404755077518895,0.1397788910113173,9,1.0,False,False
3130146,쌍문시장(쌍문역골목시장),전통시장,1.028892752821605,18.51815060306748,19.547043355889084,308441684,0,1.0355013723300277,0.05809757112595813,9,1.0,False,False
3130225,개봉중앙시장,전통시장,1.02902384383518,18.168856906299855,19.197880750135035,217537269,0,1.1942752370502343,0.233995841667051,9,1.0,False,False
3110132,성수2가3동주민센터,골목상권,1.0389597795201908,18.531428887787776,19.570388667307967,315727060,0,0.5474570406430357,0.8981429422907516,9,1.0,False,False
